Event,dtPrimitive.id_r,dtPrimitive.id_eta,dtPrimitive.id_phi,dtPrimitive.phiGlb(),dtPrimitive.phiB,dtPrimitive.quality,genParticle.pt
121,1,1,5,2.411289691925049,-36.0,2,120.44293212890625
121,4,2,5,2.408604145050049,0.0,6,120.44293212890625
121,2,2,6,2.4099860191345215,-6.0,6,120.44293212890625
122,3,-2,11,5.410792350769043,12.0,2,140.09353637695312
122,4,-2,12,5.410465240478516,-2.0,5,140.09353637695312
122,1,-1,11,5.413477897644043,-6.0,6,140.09353637695312
123,1,0,7,3.3828036785125732,-8.0,6,73.9139175415039
123,4,1,7,3.3779208660125732,-1.0,6,73.9139175415039
124,1,-1,10,4.62108039855957,-22.0,6,34.486900329589844
124,2,-1,10,4.61497688293457,-16.0,5,34.486900329589844
124,3,-1,10,4.60374641418457,-71.0,3,34.486900329589844
124,4,-1,10,4.60887336730957,-3.0,5,34.486900329589844
125,1,0,12,5.622379302978516,-20.0,4,36.434593200683594
125,3,0,12,5.612369537353516,-4.0,6,36.434593200683594
125,4,0,12,5.611637115478516,2.0,6,36.434593200683594
126,4,-2,7,3.4299228191375732,2.0,6,144.55804443359375
126,1,-1,7,3.4318759441375732,-4.0,6,144.55804443359375
126,2,-1,8,3.431060552597046,-4.0,5,144.55804443359375
127,3,-2,8,3.630523443222046,-3.0,4,84.09685516357422
127,4,-2,8,3.630035161972046,-4.0,5,84.09685516357422
127,1,-1,8,3.634185552597046,-7.0,6,84.09685516357422
127,2,-1,8,3.631988286972046,-3.0,6,84.09685516357422
128,1,1,9,4.069893836975098,-30.0,6,22.117206573486328
128,2,1,9,4.060616493225098,-22.0,6,22.117206573486328
129,1,0,6,2.9226813316345215,-7.0,6,162.0003662109375
129,4,0,6,2.9204840660095215,1.0,6,162.0003662109375
129,2,0,7,2.9221103191375732,-3.0,6,162.0003662109375
130,1,-1,4,1.4597123861312866,-12.0,6,73.98695373535156
130,2,-1,4,1.4565385580062866,-7.0,6,73.98695373535156
130,3,-1,4,1.4538530111312866,8.0,3,73.98695373535156
130,4,-1,4,1.4523881673812866,9.0,3,73.98695373535156
131,1,0,1,-0.031494140625,-112.0,6,7.524838924407959
131,2,0,1,-0.06640625,-86.0,6,7.524838924407959
131,3,0,1,-0.09423828125,-64.0,6,7.524838924407959
131,4,0,1,-0.107177734375,-22.0,6,7.524838924407959
132,1,-2,2,0.4081202745437622,-14.0,6,60.28764724731445
132,2,-2,2,0.4049464464187622,-8.0,6,60.28764724731445
132,3,-2,2,0.4027491807937622,-1.0,5,60.28764724731445
133,3,-2,7,3.0165927410125732,-174.0,2,39.20901107788086
133,4,-2,7,3.0309970378875732,19.0,6,39.20901107788086
133,1,-1,7,3.0283114910125732,-18.0,6,39.20901107788086
133,2,-1,7,3.0239169597625732,9.0,2,39.20901107788086
134,1,1,10,4.73924446105957,-44.0,6,17.25481605529785
134,3,2,10,4.72093391418457,-12.0,6,17.25481605529785
135,4,-2,3,1.0894339084625244,-1.0,6,79.86125183105469
135,1,-1,3,1.1082327365875244,246.0,2,79.86125183105469
136,1,0,3,1.1721975803375244,-5.0,6,133.8132781982422
136,2,0,3,1.1704885959625244,-4.0,5,133.8132781982422
136,3,0,3,1.1682913303375244,-211.0,2,133.8132781982422
136,4,0,3,1.1685354709625244,0.0,6,133.8132781982422
136,4,0,4,1.1686967611312866,10.0,2,133.8132781982422
137,2,0,9,3.9873743057250977,-1.0,5,121.95011901855469
137,3,0,9,3.9866418838500977,2.0,2,121.95011901855469
138,1,0,6,2.6126227378845215,-15.0,6,55.87822723388672
138,2,0,6,2.6084723472595215,-10.0,6,55.87822723388672
138,4,0,6,2.6038336753845215,-4.0,6,55.87822723388672
139,2,-1,6,2.7954840660095215,-6.0,6,132.95657348632812
139,3,-1,6,2.7942633628845215,-3.0,6,132.95657348632812
139,4,-1,6,2.7937750816345215,-3.0,6,132.95657348632812
140,1,2,3,1.3184378147125244,-7.0,6,65.2646484375
140,3,2,3,1.3140432834625244,-10.0,2,65.2646484375
140,2,2,4,1.3159135580062866,-6.0,6,65.2646484375
